Parameter,Value,,,,
# Survival ,dmfs,,,,
# Statistic Model,Cox,,,,
# Clustering Model,scmod1.robust,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Set,GSE,Curation ID,Included,Platform,Norm
nki2002,ISDB10228,22343,TRUE,agilent,ORIGINAL
METABRIC,ISDB10278,22340,FALSE,illumina,ORIGINAL
Wang 2005 , GSE2034,22068,TRUE,Affy,FRMA
minn2005,GSE2603,22341,FALSE,Affy,FRMA
miller2005,GSE3494,22072,TRUE,Affy,ORIGINAL
pawitan2005,GSE1456,22070,FALSE,Affy,ORIGINAL
minn2007,GSE5327,22346,FALSE,Affy,FRMA
schmidt2008,GSE11121,22073,FALSE,Affy,FRMA
transbig2006affy,GSE7390,22071,TRUE,Affy,FRMA
bos2009,GSE12276,22059,FALSE,Affy,FRMA
yu2008,GSE5364,22347,FALSE,Affy,ORIGINAL
lu2008,GSE5460,22063,FALSE,Affy,ORIGINAL
desmedt2009,GSE16446,22061,FALSE,Affy,FRMA
li2010,GSE19615,22062,FALSE,Affy,FRMA
silver2010,GSE18864,22066,FALSE,Affy,FRMA
farmer2005,GSE1561,22348,FALSE,Affy,FRMA
shi2010,GSE20194,22349,FALSE,Affy,FRMA
richardson2006,GSE3744,22064,FALSE,Affy,FRMA
dedeurwaerder2010,GSE20711,22350,FALSE,Affy,FRMA
expO_breast,GSE2109,22353,FALSE,Affy,FRMA
cizkova2010,GSE22035,22351,FALSE,Affy,FRMA
loi2008,GSE9195,22352,FALSE,Affy,FRMA
zhang2008,GSE12093,22069,FALSE,Affy,FRMA
symmans2010,GSE17705,22067,FALSE,Affy,FRMA
